pool_a,pool_b,offset_a_vs_b
10,18,2.0484191969079983
10,19,-10.26696410023379
10,20,7.364058219188475
10,21,2.621292534140043
10,22,0.46494840053176756
10,23,13.670482013512798
10,24,-6.4345831984822786
10,25,10.452110797588263
10,26,2.640502371419192
10,27,-7.765715873128073
10,28,3.0149071791847737
10,29,-7.638587049905065
10,30,1.1438099077531327
10,31,-7.5869633222000274
10,32,-0.17671236617558955
10,33,-7.814667944197627
10,34,-6.080373757697864
10,35,-5.447135847663656
10,36,-0.5580677966982274
10,37,-3.1347098061431393
10,38,-15.558047275238831
10,39,-5.206094731631191
10,40,-6.79483526721793
10,41,3.263867066340054
10,42,-0.04239366107872222
10,43,2.61941622006033
10,44,-7.301316015257088
10,45,-1.1964312493525062
10,46,-16.835927417066447
10,47,-2.183381691990007
10,48,0.3510202457361188
10,49,0.3944933520753581
10,50,1.4600088489020542
10,51,-0.7078731734611027
10,52,-4.280825163665074
10,53,-1.5327502139712035
10,54,0.0
10,55,0.06280649254318393
10,56,0.29159634534236917
11,12,18.785722408041494
11,13,17.24604435268325
11,14,42.848635972895316
11,15,23.74623835354751
11,16,6.780030174090981
11,17,58.31828221378862
11,18,13.252765441711748
11,19,9.105114127133366
11,20,21.38215097786282
11,21,7.373155956436863
11,22,-1.5383083063392147
11,23,17.115215777985185
11,24,30.50562940935568
11,25,13.39320392569286
11,26,11.954803639764648
11,27,-33.85966268776791
11,28,14.690579863100222
11,29,-2.895468256452743
11,30,4.510178247206363
11,31,20.500947187391354
11,32,19.795025806340487
11,33,19.88399621433619
11,34,11.604408511367742
11,35,-13.075433750432316
11,36,8.010435525745319
11,37,5.592503269125937
11,38,25.09322594487192
11,39,6.2982504806643105
11,40,-32.469523003150016
11,41,1.8350401552855928
11,42,2.329563591509285
11,43,6.0627424192775745
11,44,2.293840230299248
11,45,12.399138948537493
11,46,10.741492206601432
11,47,3.740321919235345
11,48,-2.9958649936897532
11,49,1.0420012128970095
11,50,-8.780321405784063
11,51,-0.05412780268614009
11,52,0.09840504434881853
11,53,-0.5305310260913195
11,54,-6.775139768773839
11,55,0.14465549185439466
11,56,0.018978134309832466
12,13,-9.818061637392319
12,14,-42.92717769206029
12,15,-7.638394366410702
12,16,-27.61568927895608
12,17,-24.657288191628712
12,18,-25.299728595668373
12,19,10.653580117593094
12,20,-8.54611752102284
12,21,14.758450939270917
12,22,9.710681120200535
12,23,-2.948528669772188
12,24,-3.2792904403761525
12,25,5.399159691268506
12,26,-3.688845931221539
12,27,-31.245636797692654
12,28,-7.641962665015621
12,29,1.632960103370716
12,30,5.150875296417844
12,31,7.21443325219755
12,32,11.494583361559787
12,33,-20.919581135726787
12,34,-7.632372874963813
12,35,8.035518362797566
12,36,1.06366161515158
12,37,7.284304266213661
12,38,-23.604515236456283
12,39,0.9822276950948856
12,40,6.706279218917371
12,41,-1.0042626442808285
12,42,-0.9420591702304368
12,43,0.08830067710960687
12,44,2.2707586992667914
12,45,0.7719329064473374
12,46,-0.09766840237788577
12,47,-2.3241552156897223
12,48,0.44081907758978256
12,49,2.8830960776312033
12,50,0.3188304900059792
12,51,-15.085053109567856
12,52,2.2105406859797534
12,53,-0.09365433227608025
12,54,0.13539016144952531
12,55,0.017432592096882225
12,56,-0.26385217089029933
13,14,-10.564597597104418
13,15,-14.791707324057242
13,16,-14.67205491576557
13,17,-33.78832328518781
13,18,-3.840285715416275
13,19,-3.4288367843736522
13,20,-8.497915681017805
13,21,-7.006655219102549
13,22,-2.1224931779762324
13,23,-3.7396316388472934
13,24,-5.488593930967069
13,25,0.5999587661394323
13,26,5.714388608664892
13,27,-19.50606200798336
13,28,12.264806015004833
13,29,-3.3138067110606224
13,30,-0.6092566492923548
13,31,1.7642458399921357
13,32,-5.457468881088654
13,33,4.6557648197884625
13,34,-0.13994311329359385
13,35,-1.6816360350361774
13,36,-3.1719934231650884
13,37,-3.844230933209607
13,38,6.517178011181695
13,39,-1.2170453027022732
13,40,0.33149229097409194
13,41,-1.4514878550210477
13,42,2.1499716129719255
13,43,4.0760805428641
13,44,1.7235077263593748
13,45,5.353079862784061
13,46,9.23242589527591
13,47,0.667119984021358
13,48,-0.6155891447718166
13,49,1.2758320570451651
13,50,-0.8822205379693563
13,51,0.5317370202687757
13,52,1.2721850635239091
13,53,-1.1051462914227526
13,54,0.23612619671383864
13,55,-0.1644420875292012
13,56,0.0
14,15,-44.306797963307766
14,16,-12.703172978007732
14,17,-14.37209131919538
14,18,-0.20609825427481582
14,19,1.9328443409771037
14,20,5.090505248923824
14,21,2.211226353320401
14,22,-3.700809931948385
14,23,20.79979696931939
14,24,4.37064234341867
14,25,2.7716794924582633
14,26,-2.828841383338844
14,27,-37.67077163121141
14,28,-3.751059639300942
14,29,-11.866227332796097
14,30,0.9556637976852336
14,31,11.555252407598035
14,32,-0.10977274264770717
14,33,-10.000079175132653
14,34,6.020453432428294
14,35,-4.062826581209898
14,36,3.102270749278609
14,37,1.9745264331720058
14,38,-8.95096349293672
14,39,-3.043771775790862
14,40,-5.962089066108428
14,41,-2.333348187633801
14,42,1.2962519234115562
14,43,-0.8865522700539512
14,44,2.7621704261395204
14,45,-4.349450559706524
14,46,-6.789964744206839
14,47,-7.637479578985422
14,48,-2.4077639486081974
14,49,0.3971082226321061
14,50,-0.25841482829916707
14,51,-1.1036931322044565
14,52,1.6887293204300682
14,53,0.1926379451571418
14,54,0.0
14,55,0.09180434195859168
14,56,0.0
15,16,13.176471168968206
15,17,-2.3154309251109955
15,18,9.87264514291206
15,19,33.5918010505584
15,20,11.930511164108013
15,21,5.985185622092393
15,22,-4.324112652506746
15,23,2.840512530744169
15,24,7.983979292488595
15,25,31.524800276955194
15,26,8.077730433645094
15,27,-20.671547079634685
15,28,2.298915255822427
